name,state,country
Srikakulam,Andhra Pradesh,India
Srikalahasti,Andhra Pradesh,India
Sriramnagar,Andhra Pradesh,India
Sriramsagar,Andhra Pradesh,India
Srisailam,Andhra Pradesh,India
Srisailamgudem Devasthanam,Andhra Pradesh,India
Sulurpeta,Andhra Pradesh,India
Suriapet,Andhra Pradesh,India
Suryaraopet,Andhra Pradesh,India
Tadepalle,Andhra Pradesh,India
Tadepalligudem,Andhra Pradesh,India
Tadpatri,Andhra Pradesh,India
Tallapalle,Andhra Pradesh,India
Tanuku,Andhra Pradesh,India
Tekkali,Andhra Pradesh,India
Tenali,Andhra Pradesh,India
Tigalapahad,Andhra Pradesh,India
Tiruchanur,Andhra Pradesh,India
Tirumala,Andhra Pradesh,India
Tirupati,Andhra Pradesh,India
Tirvuru,Andhra Pradesh,India
Trimulgherry,Andhra Pradesh,India
Tuni,Andhra Pradesh,India
Turangi,Andhra Pradesh,India
Ukkayapalli,Andhra Pradesh,India
Ukkunagaram,Andhra Pradesh,India
Uppal Kalan,Andhra Pradesh,India
Upper Sileru,Andhra Pradesh,India
Uravakonda,Andhra Pradesh,India
Vadlapudi,Andhra Pradesh,India
Vaparala,Andhra Pradesh,India
Vemalwada,Andhra Pradesh,India
Venkatagiri,Andhra Pradesh,India
Venkatapuram,Andhra Pradesh,India
Vepagunta,Andhra Pradesh,India
Vetapalem,Andhra Pradesh,India
Vijayapuri,Andhra Pradesh,India
Vijayapuri South,Andhra Pradesh,India
Vijayawada,Andhra Pradesh,India
Vinukonda,Andhra Pradesh,India
Visakhapatnam,Andhra Pradesh,India
Vizianagaram,Andhra Pradesh,India
Vuyyuru,Andhra Pradesh,India
Wanparti,Andhra Pradesh,India
West Godavari Dist.,Andhra Pradesh,India
Yadagirigutta,Andhra Pradesh,India
Yarada,Andhra Pradesh,India
Yellamanchili,Andhra Pradesh,India
Yemmiganur,Andhra Pradesh,India
Yenamalakudru,Andhra Pradesh,India
Yendada,Andhra Pradesh,India
Yerraguntla,Andhra Pradesh,India
Along,Arunachal Pradesh,India
Basar,Arunachal Pradesh,India
Bondila,Arunachal Pradesh,India
Changlang,Arunachal Pradesh,India
Daporijo,Arunachal Pradesh,India
Deomali,Arunachal Pradesh,India
Itanagar,Arunachal Pradesh,India
Jairampur,Arunachal Pradesh,India
Khonsa,Arunachal Pradesh,India
Naharlagun,Arunachal Pradesh,India
Namsai,Arunachal Pradesh,India
Pasighat,Arunachal Pradesh,India
Roing,Arunachal Pradesh,India
Seppa,Arunachal Pradesh,India
Tawang,Arunachal Pradesh,India
Tezu,Arunachal Pradesh,India
Ziro,Arunachal Pradesh,India
Abhayapuri,Assam,India
Ambikapur,Assam,India
Amguri,Assam,India
Anand Nagar,Assam,India
Badarpur,Assam,India
Badarpur Railway Town,Assam,India
Bahbari Gaon,Assam,India
Bamun Sualkuchi,Assam,India
Barbari,Assam,India
Barpathar,Assam,India
Barpeta,Assam,India
Barpeta Road,Assam,India
Basugaon,Assam,India
Bihpuria,Assam,India
Bijni,Assam,India
Bilasipara,Assam,India
Biswanath Chariali,Assam,India
Bohori,Assam,India
Bokajan,Assam,India
Bokokhat,Assam,India
Bongaigaon,Assam,India
Bongaigaon Petro-chemical Town,Assam,India
Borgolai,Assam,India
Chabua,Assam,India
Chandrapur Bagicha,Assam,India
Chapar,Assam,India
Chekonidhara,Assam,India
Choto Haibor,Assam,India
Dergaon,Assam,India
Dharapur,Assam,India
Dhekiajuli,Assam,India
Dhemaji,Assam,India
Dhing,Assam,India
Dhubri,Assam,India
Dhuburi,Assam,India
Dibrugarh,Assam,India
Digboi,Assam,India
Digboi Oil Town,Assam,India
Dimaruguri,Assam,India
Diphu,Assam,India
Dispur,Assam,India
Doboka,Assam,India
Dokmoka,Assam,India
Donkamokan,Assam,India
Duliagaon,Assam,India
Duliajan,Assam,India
Dum Duma,Assam,India
Durga Nagar,Assam,India
Gauripur,Assam,India
Goalpara,Assam,India
Gohpur,Assam,India
Golaghat,Assam,India
Golakganj,Assam,India
Gossaigaon,Assam,India
Guwahati,Assam,India
Haflong,Assam,India
Hailakandi,Assam,India
Hamren,Assam,India
Hauli,Assam,India
Hauraghat,Assam,India
Hojai,Assam,India
Jagiroad,Assam,India
Jagiroad Paper Mill,Assam,India
Jogighopa,Assam,India
Jonai Bazar,Assam,India
Jorhat,Assam,India
Kampur Town,Assam,India
Kamrup,Assam,India
Kanakpur,Assam,India
Karimganj,Assam,India
Kharijapikon,Assam,India
Kharupetia,Assam,India
Kochpara,Assam,India
Kokrajhar,Assam,India
Kumar Kaibarta Gaon,Assam,India
Lakhimpur,Assam,India
Lakhipur,Assam,India
Lala,Assam,India
Lanka,Assam,India
Lido Tikok,Assam,India
Lido Town,Assam,India
Lumding,Assam,India
Lumding Railway Colony,Assam,India
Mahur,Assam,India
Maibong,Assam,India
Majgaon,Assam,India
Makum,Assam,India
Mangaldai,Assam,India
Mankachar,Assam,India
Margherita,Assam,India
Mariani,Assam,India
Marigaon,Assam,India
Moran,Assam,India
Moranhat,Assam,India
Nagaon,Assam,India
Naharkatia,Assam,India
Nalbari,Assam,India
Namrup,Assam,India
Naubaisa Gaon,Assam,India
Nazira,Assam,India
New Bongaigaon Railway Colony,Assam,India
Niz-Hajo,Assam,India
North Guwahati,Assam,India
Numaligarh,Assam,India
Palasbari,Assam,India
Panchgram,Assam,India
Pathsala,Assam,India
Raha,Assam,India
Rangapara,Assam,India
Rangia,Assam,India
Salakati,Assam,India
Sapatgram,Assam,India
Sarthebari,Assam,India
Sarupathar,Assam,India
Senchoagaon,Assam,India
Sibsagar,Assam,India
Silapathar,Assam,India
Silchar,Assam,India
Sonari,Assam,India
Sorbhog,Assam,India
Sualkuchi,Assam,India
Tangla,Assam,India
Tezpur,Assam,India
Tihu,Assam,India
Tinsukia,Assam,India
Titabor,Assam,India
Udalguri,Assam,India
Umrangso,Assam,India
Amarpur,Bihar,India
Ara,Bihar,India
Araria,Bihar,India
Areraj,Bihar,India
Asarganj,Bihar,India
Aurangabad,Bihar,India
Bagaha,Bihar,India
Bahadurganj,Bihar,India
Bairgania,Bihar,India
Bakhtiyarpur,Bihar,India
Banka,Bihar,India
Banmankhi,Bihar,India
Bar Bigha,Bihar,India
Barauli,Bihar,India
Barauni Oil Township,Bihar,India
Barh,Bihar,India
Barhiya,Bihar,India
Bariapur,Bihar,India
Baruni,Bihar,India
Begusarai,Bihar,India
Behea,Bihar,India
Belsand,Bihar,India
Bettiah,Bihar,India
Bhabua,Bihar,India
Bhagalpur,Bihar,India
Bhimnagar,Bihar,India
Bhojpur,Bihar,India
Bihar,Bihar,India
Bihar Sharif,Bihar,India
Bihariganj,Bihar,India
Bikramganj,Bihar,India
Birpur,Bihar,India
Bodh Gaya,Bihar,India
Buxar,Bihar,India
Chakia,Bihar,India
Chanpatia,Bihar,India
Chhapra,Bihar,India
Chhatapur,Bihar,India
Colgong,Bihar,India
Dalsingh Sarai,Bihar,India
Darbhanga,Bihar,India
Daudnagar,Bihar,India
Dehri,Bihar,India
Dhaka,Bihar,India
Dighwara,Bihar,India
Dinapur,Bihar,India
Dinapur Cantonment,Bihar,India
Dumra,Bihar,India
Dumraon,Bihar,India
Fatwa,Bihar,India
Forbesganj,Bihar,India
Gaya,Bihar,India
Gazipur,Bihar,India
Ghoghardiha,Bihar,India
Gogri Jamalpur,Bihar,India
Gopalganj,Bihar,India
Habibpur,Bihar,India
Hajipur,Bihar,India
Hasanpur,Bihar,India
Hazaribagh,Bihar,India
Hilsa,Bihar,India
Hisua,Bihar,India
Islampur,Bihar,India
Jagdispur,Bihar,India
Jahanabad,Bihar,India
Jamalpur,Bihar,India
Jamhaur,Bihar,India
Jamui,Bihar,India
Janakpur Road,Bihar,India
Janpur,Bihar,India
Jaynagar,Bihar,India
Jha Jha,Bihar,India
Jhanjharpur,Bihar,India
Jogbani,Bihar,India
Kanti,Bihar,India
Kasba,Bihar,India
Kataiya,Bihar,India
Katihar,Bihar,India
Khagaria,Bihar,India
Khagaul,Bihar,India
Kharagpur,Bihar,India
Khusrupur,Bihar,India
Kishanganj,Bihar,India
Koath,Bihar,India
Koilwar,Bihar,India
Lakhisarai,Bihar,India
Lalganj,Bihar,India
Lauthaha,Bihar,India
Madhepura,Bihar,India
Madhubani,Bihar,India
Maharajganj,Bihar,India
Mahnar Bazar,Bihar,India
Mairwa,Bihar,India
Makhdumpur,Bihar,India
Maner,Bihar,India
Manihari,Bihar,India
Marhaura,Bihar,India
Masaurhi,Bihar,India
Mirganj,Bihar,India
Mohiuddinagar,Bihar,India
Mokama,Bihar,India
Motihari,Bihar,India
Motipur,Bihar,India
Munger,Bihar,India
Murliganj,Bihar,India
Muzaffarpur,Bihar,India
Nabinagar,Bihar,India
Narkatiaganj,Bihar,India
Nasriganj,Bihar,India
Natwar,Bihar,India
Naugachhia,Bihar,India
Nawada,Bihar,India
Nirmali,Bihar,India
Nokha,Bihar,India
Paharpur,Bihar,India
Patna,Bihar,India
Phulwari,Bihar,India
Piro,Bihar,India
Purnia,Bihar,India
Pusa,Bihar,India
Rafiganj,Bihar,India
Raghunathpur,Bihar,India
Rajgir,Bihar,India
Ramnagar,Bihar,India
Raxaul,Bihar,India
Revelganj,Bihar,India
Rusera,Bihar,India
Sagauli,Bihar,India
Saharsa,Bihar,India
Samastipur,Bihar,India
Sasaram,Bihar,India
Shahpur,Bihar,India
Shaikhpura,Bihar,India
Sherghati,Bihar,India
Shivhar,Bihar,India
Silao,Bihar,India
Sitamarhi,Bihar,India
Siwan,Bihar,India
Sonepur,Bihar,India
Sultanganj,Bihar,India
Supaul,Bihar,India
Teghra,Bihar,India
Tekari,Bihar,India
Thakurganj,Bihar,India
Vaishali,Bihar,India
Waris Aliganj,Bihar,India
Chandigarh,Chandigarh,India
Ahiwara,Chhattisgarh,India
Akaltara,Chhattisgarh,India
Ambagarh Chauki,Chhattisgarh,India
Ambikapur,Chhattisgarh,India
Arang,Chhattisgarh,India
Bade Bacheli,Chhattisgarh,India
Bagbahara,Chhattisgarh,India
Baikunthpur,Chhattisgarh,India
Balod,Chhattisgarh,India
Baloda,Chhattisgarh,India
Baloda Bazar,Chhattisgarh,India
Banarsi,Chhattisgarh,India
Basna,Chhattisgarh,India
Bemetra,Chhattisgarh,India
Bhanpuri,Chhattisgarh,India
Bhatapara,Chhattisgarh,India
Bhatgaon,Chhattisgarh,India
Bhilai,Chhattisgarh,India
Bilaspur,Chhattisgarh,India
Bilha,Chhattisgarh,India
Birgaon,Chhattisgarh,India
Bodri,Chhattisgarh,India
Champa,Chhattisgarh,India
Charcha,Chhattisgarh,India
Charoda,Chhattisgarh,India
Chhuikhadan,Chhattisgarh,India
Chirmiri,Chhattisgarh,India
Dantewada,Chhattisgarh,India
Deori,Chhattisgarh,India
Dhamdha,Chhattisgarh,India
Dhamtari,Chhattisgarh,India
Dharamjaigarh,Chhattisgarh,India
Dipka,Chhattisgarh,India
Doman Hill Colliery,Chhattisgarh,India
Dongargaon,Chhattisgarh,India
Dongragarh,Chhattisgarh,India
Durg,Chhattisgarh,India
Frezarpur,Chhattisgarh,India
Gandai,Chhattisgarh,India
Gariaband,Chhattisgarh,India
Gaurela,Chhattisgarh,India
Gelhapani,Chhattisgarh,India
Gharghoda,Chhattisgarh,India
Gidam,Chhattisgarh,India
Gobra Nawapara,Chhattisgarh,India
Gogaon,Chhattisgarh,India
Hatkachora,Chhattisgarh,India
Jagdalpur,Chhattisgarh,India
Jamui,Chhattisgarh,India
Jashpurnagar,Chhattisgarh,India
Jhagrakhand,Chhattisgarh,India
Kanker,Chhattisgarh,India
Katghora,Chhattisgarh,India
Kawardha,Chhattisgarh,India
Khairagarh,Chhattisgarh,India
Khamhria,Chhattisgarh,India
Kharod,Chhattisgarh,India
Kharsia,Chhattisgarh,India
Khonga Pani,Chhattisgarh,India
Kirandu,Chhattisgarh,India
Kirandul,Chhattisgarh,India
Kohka,Chhattisgarh,India
Kondagaon,Chhattisgarh,India
Korba,Chhattisgarh,India
Korea,Chhattisgarh,India
Koria Block,Chhattisgarh,India
Kota,Chhattisgarh,India
Kumhari,Chhattisgarh,India
Kumud Katta,Chhattisgarh,India
Kurasia,Chhattisgarh,India
Kurud,Chhattisgarh,India
Lingiyadih,Chhattisgarh,India
Lormi,Chhattisgarh,India
Mahasamund,Chhattisgarh,India
Mahendragarh,Chhattisgarh,India
Mehmand,Chhattisgarh,India
Mongra,Chhattisgarh,India
Mowa,Chhattisgarh,India
Mungeli,Chhattisgarh,India
Nailajanjgir,Chhattisgarh,India
Namna Kalan,Chhattisgarh,India
Naya Baradwar,Chhattisgarh,India
Pandariya,Chhattisgarh,India
Patan,Chhattisgarh,India
Pathalgaon,Chhattisgarh,India
Pendra,Chhattisgarh,India
Phunderdihari,Chhattisgarh,India
Pithora,Chhattisgarh,India
Raigarh,Chhattisgarh,India
Raipur,Chhattisgarh,India
Rajgamar,Chhattisgarh,India
Rajhara,Chhattisgarh,India
Rajnandgaon,Chhattisgarh,India
Ramanuj Ganj,Chhattisgarh,India
Ratanpur,Chhattisgarh,India
Sakti,Chhattisgarh,India
Saraipali,Chhattisgarh,India
Sarajpur,Chhattisgarh,India
Sarangarh,Chhattisgarh,India
Shivrinarayan,Chhattisgarh,India
Simga,Chhattisgarh,India
Sirgiti,Chhattisgarh,India
Takhatpur,Chhattisgarh,India
Telgaon,Chhattisgarh,India
Tildanewra,Chhattisgarh,India
Urla,Chhattisgarh,India
Vishrampur,Chhattisgarh,India
Amli,Dadra and Nagar Haveli,India
Silvassa,Dadra and Nagar Haveli,India
Daman,Daman and Diu,India
Diu,Daman and Diu,India
Delhi,Delhi,India
New Delhi,Delhi,India
Aldona,Goa,India
Altinho,Goa,India
Aquem,Goa,India
Arpora,Goa,India
Bambolim,Goa,India
Bandora,Goa,India
Bardez,Goa,India
Benaulim,Goa,India
Betora,Goa,India
Bicholim,Goa,India
Calapor,Goa,India
Candolim,Goa,India
Caranzalem,Goa,India
Carapur,Goa,India
Chicalim,Goa,India
Chimbel,Goa,India
Chinchinim,Goa,India
Colvale,Goa,India
Corlim,Goa,India
Cortalim,Goa,India
Cuncolim,Goa,India
Curchorem,Goa,India
Curti,Goa,India
Davorlim,Goa,India
Dona Paula,Goa,India
Goa,Goa,India
Guirim,Goa,India
Jua,Goa,India
Kalangat,Goa,India
Kankon,Goa,India
Kundaim,Goa,India
Loutulim,Goa,India
Madgaon,Goa,India
Mapusa,Goa,India
Margao,Goa,India
Margaon,Goa,India
Miramar,Goa,India
Morjim,Goa,India
Mormugao,Goa,India
Navelim,Goa,India
Pale,Goa,India
Panaji,Goa,India
Parcem,Goa,India
Parra,Goa,India
Penha de Franca,Goa,India
Pernem,Goa,India
Pilerne,Goa,India
Pissurlem,Goa,India
Ponda,Goa,India
Porvorim,Goa,India
Quepem,Goa,India
Queula,Goa,India
Raia,Goa,India
Reis Magos,Goa,India
Salcette,Goa,India
Saligao,Goa,India
Sancoale,Goa,India
Sanguem,Goa,India
Sanquelim,Goa,India
Sanvordem,Goa,India
Sao Jose-de-Areal,Goa,India
Sattari,Goa,India
Serula,Goa,India
Sinquerim,Goa,India
Siolim,Goa,India
Taleigao,Goa,India
Tivim,Goa,India
Valpoi,Goa,India
Varca,Goa,India
Vasco,Goa,India
Verna,Goa,India
Abrama,Gujarat,India
Adalaj,Gujarat,India
Adityana,Gujarat,India
Advana,Gujarat,India
Ahmedabad,Gujarat,India
Ahwa,Gujarat,India
Alang,Gujarat,India
Ambaji,Gujarat,India
Ambaliyasan,Gujarat,India
Amod,Gujarat,India
Amreli,Gujarat,India
Amroli,Gujarat,India
Anand,Gujarat,India
Andada,Gujarat,India
Anjar,Gujarat,India
Anklav,Gujarat,India
Ankleshwar,Gujarat,India
Anklesvar INA,Gujarat,India
Antaliya,Gujarat,India
Arambhada,Gujarat,India
Asarma,Gujarat,India
Atul,Gujarat,India
Babra,Gujarat,India
Bag-e-Firdosh,Gujarat,India
Bagasara,Gujarat,India
Bahadarpar,Gujarat,India
Bajipura,Gujarat,India
Bajva,Gujarat,India
Balasinor,Gujarat,India
Banaskantha,Gujarat,India
Bansda,Gujarat,India
Bantva,Gujarat,India
Bardoli,Gujarat,India
Barwala,Gujarat,India
Bayad,Gujarat,India
Bechar,Gujarat,India
Bedi,Gujarat,India
Beyt,Gujarat,India
Bhachau,Gujarat,India
Bhanvad,Gujarat,India
Bharuch,Gujarat,India
Bharuch INA,Gujarat,India
Bhavnagar,Gujarat,India
Bhayavadar,Gujarat,India
Bhestan,Gujarat,India
Bhuj,Gujarat,India
Bilimora,Gujarat,India
Bilkha,Gujarat,India
Billimora,Gujarat,India
Bodakdev,Gujarat,India
Bodeli,Gujarat,India
Bopal,Gujarat,India
Boria,Gujarat,India
Boriavi,Gujarat,India
Borsad,Gujarat,India
Botad,Gujarat,India
Cambay,Gujarat,India
Chaklasi,Gujarat,India
Chala,Gujarat,India
Chalala,Gujarat,India
Chalthan,Gujarat,India
Chanasma,Gujarat,India
Chandisar,Gujarat,India
Chandkheda,Gujarat,India
Chanod,Gujarat,India
Chaya,Gujarat,India
Chenpur,Gujarat,India
Chhapi,Gujarat,India
Chhaprabhatha,Gujarat,India
Chhatral,Gujarat,India
Chhota Udepur,Gujarat,India
Chikhli,Gujarat,India
Chiloda,Gujarat,India
Chorvad,Gujarat,India
Chotila,Gujarat,India
Dabhoi,Gujarat,India
Dadara,Gujarat,India
Dahod,Gujarat,India
Dakor,Gujarat,India
Damnagar,Gujarat,India
Deesa,Gujarat,India
Delvada,Gujarat,India
Devgadh Baria,Gujarat,India
Devsar,Gujarat,India
Dhandhuka,Gujarat,India
Dhanera,Gujarat,India
Dhangdhra,Gujarat,India
Dhansura,Gujarat,India
Dharampur,Gujarat,India
Dhari,Gujarat,India
Dhola,Gujarat,India
Dholka,Gujarat,India
Dholka Rural,Gujarat,India
Dhoraji,Gujarat,India
Dhrangadhra,Gujarat,India
Dhrol,Gujarat,India
Dhuva,Gujarat,India
Dhuwaran,Gujarat,India
Digvijaygram,Gujarat,India
Disa,Gujarat,India
Dungar,Gujarat,India
Dungarpur,Gujarat,India
Dungra,Gujarat,India
Dwarka,Gujarat,India
Flelanganj,Gujarat,India
GSFC Complex,Gujarat,India
Gadhda,Gujarat,India
Gandevi,Gujarat,India
Gandhidham,Gujarat,India
Gandhinagar,Gujarat,India
Gariadhar,Gujarat,India
Ghogha,Gujarat,India
Godhra,Gujarat,India
Gondal,Gujarat,India
